대학ID,학년도,모집단위,전형명,전형유형,모집인원,지원자수
1,2025,미디어커뮤니케이션학과,학생부교과(학생부우수자),학생부교과,5,56
1,2025,미디어커뮤니케이션학과,학생부교과(지역균형),학생부교과,10,107
1,2025,미디어커뮤니케이션학과,학생부종합(가천바람개비),학생부종합,17,377
1,2025,미디어커뮤니케이션학과,논술(논술전형),논술,15,849
1,2025,미디어커뮤니케이션학과,학생부종합(기회균형),학생부종합,4,48
1,2025,관광경영학과,학생부교과(학생부우수자),학생부교과,5,53
1,2025,관광경영학과,학생부종합(가천바람개비),학생부종합,18,241
1,2025,관광경영학과,논술(논술전형),논술,13,403
1,2025,관광경영학과,학생부종합(기회균형),학생부종합,3,35
1,2025,경제학과,학생부교과(학생부우수자),학생부교과,17,223
1,2025,경제학과,학생부교과(지역균형),학생부교과,12,121
1,2025,경제학과,학생부종합(가천바람개비),학생부종합,19,172
1,2025,경제학과,학생부종합(기회균형),학생부종합,1,8
1,2025,의료산업경영학과,학생부교과(학생부우수자),학생부교과,7,85
1,2025,의료산업경영학과,학생부종합(가천바람개비),학생부종합,17,355
1,2025,의료산업경영학과,논술(논술전형),논술,17,498
1,2025,의료산업경영학과,학생부종합(기회균형),학생부종합,1,8
1,2025,응용통계학과,학생부교과(학생부우수자),학생부교과,7,55
1,2025,응용통계학과,학생부교과(지역균형),학생부교과,10,62
1,2025,응용통계학과,학생부종합(가천바람개비),학생부종합,6,114
1,2025,응용통계학과,논술(논술전형),논술,15,1077
1,2025,사회복지학과,학생부교과(학생부우수자),학생부교과,11,123
1,2025,사회복지학과,학생부종합(가천바람개비),학생부종합,11,122
1,2025,사회복지학과,논술(논술전형),논술,12,869
1,2025,사회복지학과,학생부종합(기회균형),학생부종합,3,22
1,2025,유아교육학과,학생부교과(학생부우수자),학생부교과,19,171
1,2025,유아교육학과,학생부교과(지역균형),학생부교과,7,87
1,2025,유아교육학과,학생부종합(가천바람개비),학생부종합,14,350
1,2025,행정학과,학생부교과(학생부우수자),학생부교과,6,106
1,2025,행정학과,학생부종합(가천바람개비),학생부종합,15,248
1,2025,행정학과,논술(논술전형),논술,14,880
1,2025,행정학과,학생부종합(기회균형),학생부종합,1,7
1,2025,법학과,학생부교과(학생부우수자),학생부교과,8,73
1,2025,법학과,학생부종합(가천바람개비),학생부종합,19,310
1,2025,법학과,학생부종합(기회균형),학생부종합,2,12
1,2025,경찰행정학과,학생부교과(학생부우수자),학생부교과,10,165
1,2025,경찰행정학과,학생부교과(지역균형),학생부교과,9,173
1,2025,경찰행정학과,학생부종합(가천바람개비),학생부종합,14,343
1,2025,경찰행정학과,학생부종합(기회균형),학생부종합,4,36
1,2025,한국어문학과,학생부교과(학생부우수자),학생부교과,10,74
1,2025,한국어문학과,학생부종합(가천바람개비),학생부종합,9,83
1,2025,한국어문학과,논술(논술전형),논술,5,262
1,2025,한국어문학과,학생부종합(기회균형),학생부종합,4,27
1,2025,영미어문학과,학생부종합(가천바람개비),학생부종합,5,52
1,2025,영미어문학과,논술(논술전형),논술,11,428
1,2025,동양어문학과,학생부교과(학생부우수자),학생부교과,6,51
1,2025,동양어문학과,학생부종합(가천바람개비),학생부종합,4,39
1,2025,동양어문학과,논술(논술전형),논술,6,320
1,2025,동양어문학과,학생부종합(기회균형),학생부종합,2,13
1,2025,컴퓨터공학부,학생부교과(학생부우수자),학생부교과,16,274
1,2025,컴퓨터공학부,학생부교과(지역균형),학생부교과,15,326
1,2025,컴퓨터공학부,학생부종합(가천바람개비),학생부종합,11,147
1,2025,컴퓨터공학부,논술(논술전형),논술,9,413
1,2025,컴퓨터공학부,학생부종합(기회균형),학생부종합,3,27
1,2025,인공지능학과,학생부교과(학생부우수자),학생부교과,13,198
1,2025,인공지능학과,학생부교과(지역균형),학생부교과,13,235
1,2025,인공지능학과,학생부종합(가천바람개비),학생부종합,22,269
1,2025,인공지능학과,논술(논술전형),논술,9,431
1,2025,인공지능학과,학생부종합(기회균형),학생부종합,4,44
1,2025,소프트웨어학과,학생부교과(학생부우수자),학생부교과,9,162
1,2025,소프트웨어학과,학생부교과(지역균형),학생부교과,11,232
1,2025,소프트웨어학과,학생부종합(가천바람개비),학생부종합,12,291
1,2025,소프트웨어학과,학생부종합(기회균형),학생부종합,3,16
1,2025,전자공학부,학생부교과(지역균형),학생부교과,12,85
1,2025,전자공학부,학생부종합(가천바람개비),학생부종합,11,220
1,2025,전기공학과,학생부교과(학생부우수자),학생부교과,10,70
1,2025,전기공학과,학생부교과(지역균형),학생부교과,5,74
1,2025,전기공학과,학생부종합(가천바람개비),학생부종합,7,138
1,2025,전기공학과,학생부종합(기회균형),학생부종합,2,17
1,2025,기계공학과,학생부교과(학생부우수자),학생부교과,10,142
1,2025,기계공학과,학생부교과(지역균형),학생부교과,8,57
1,2025,기계공학과,학생부종합(가천바람개비),학생부종합,22,466
1,2025,기계공학과,논술(논술전형),논술,9,291
1,2025,기계공학과,학생부종합(기회균형),학생부종합,3,33
1,2025,화공생명공학과,학생부교과(학생부우수자),학생부교과,10,158
1,2025,화공생명공학과,학생부종합(가천바람개비),학생부종합,15,261
1,2025,화공생명공학과,논술(논술전형),논술,6,236
1,2025,화공생명공학과,학생부종합(기회균형),학생부종합,2,13
1,2025,건축학부,학생부교과(학생부우수자),학생부교과,17,261
1,2025,건축학부,학생부종합(가천바람개비),학생부종합,7,69
1,2025,건축학부,논술(논술전형),논술,3,139
1,2025,건축학부,학생부종합(기회균형),학생부종합,3,23
1,2025,도시계획·조경학부,학생부교과(학생부우수자),학생부교과,20,206
1,2025,도시계획·조경학부,학생부종합(가천바람개비),학생부종합,14,291
1,2025,도시계획·조경학부,논술(논술전형),논술,3,249
1,2025,도시계획·조경학부,학생부종합(기회균형),학생부종합,3,31
1,2025,바이오나노학과,학생부교과(학생부우수자),학생부교과,16,247
1,2025,바이오나노학과,학생부교과(지역균형),학생부교과,12,198
1,2025,바이오나노학과,학생부종합(가천바람개비),학생부종합,20,443
1,2025,식품생명공학과,학생부종합(가천바람개비),학생부종합,12,225
1,2025,식품생명공학과,논술(논술전형),논술,7,313
1,2025,식품생명공학과,학생부종합(기회균형),학생부종합,3,19
1,2025,간호학과,학생부교과(학생부우수자),학생부교과,8,134
1,2025,간호학과,학생부교과(지역균형),학생부교과,6,66
1,2025,간호학과,학생부종합(가천바람개비),학생부종합,8,231
1,2025,간호학과,논술(논술전형),논술,3,185
1,2025,약학과,학생부교과(학생부우수자),학생부교과,6,143
1,2025,약학과,학생부교과(지역균형),학생부교과,5,98
1,2025,약학과,학생부종합(가천바람개비),학생부종합,12,382
1,2025,약학과,논술(논술전형),논술,7,830
1,2025,약학과,학생부종합(기회균형),학생부종합,3,31
1,2025,의예과,학생부교과(학생부우수자),학생부교과,13,499
1,2025,의예과,학생부교과(지역균형),학생부교과,13,655
1,2025,의예과,학생부종합(가천바람개비),학생부종합,8,414
1,2025,의예과,논술(논술전형),논술,10,1191
1,2025,한의예과,학생부교과(학생부우수자),학생부교과,10,194
1,2025,한의예과,학생부종합(가천바람개비),학생부종합,6,256
1,2025,한의예과,논술(논술전형),논술,5,348
1,2025,한의예과,학생부종합(기회균형),학생부종합,1,11
1,2025,시각디자인학과,실기/실적(실기우수자),실기/실적,27,414
1,2025,체육학부,실기/실적(실기우수자),실기/실적,24,308
1,2025,음악학부,실기/실적(실기우수자),실기/실적,11,138
1,2025,자유전공학부,학생부교과(학생부우수자),학생부교과,10,109
1,2025,자유전공학부,학생부교과(지역균형),학생부교과,5,55
1,2025,자유전공학부,학생부종합(가천바람개비),학생부종합,16,279
1,2026,경영학부,학생부교과(학생부우수자),학생부교과,9,136
1,2026,경영학부,학생부교과(지역균형),학생부교과,12,146
1,2026,경영학부,학생부종합(가천바람개비),학생부종합,18,363
1,2026,경영학부,학생부종합(기회균형),학생부종합,1,8
1,2026,미디어커뮤니케이션학과,학생부교과(학생부우수자),학생부교과,5,55
1,2026,미디어커뮤니케이션학과,학생부교과(지역균형),학생부교과,10,117
1,2026,미디어커뮤니케이션학과,학생부종합(가천바람개비),학생부종합,17,367
1,2026,미디어커뮤니케이션학과,논술(논술전형),논술,13,694
1,2026,미디어커뮤니케이션학과,학생부종합(기회균형),학생부종합,5,59
1,2026,관광경영학과,학생부교과(학생부우수자),학생부교과,6,74
1,2026,관광경영학과,학생부종합(가천바람개비),학생부종합,15,158
1,2026,관광경영학과,논술(논술전형),논술,13,449
1,2026,관광경영학과,학생부종합(기회균형),학생부종합,2,18
1,2026,경제학과,학생부교과(학생부우수자),학생부교과,15,238
1,2026,경제학과,학생부교과(지역균형),학생부교과,12,161
1,2026,경제학과,학생부종합(가천바람개비),학생부종합,15,164
1,2026,경제학과,학생부종합(기회균형),학생부종합,1,12
1,2026,의료산업경영학과,학생부교과(학생부우수자),학생부교과,6,112
1,2026,의료산업경영학과,학생부종합(가천바람개비),학생부종합,17,360
1,2026,의료산업경영학과,논술(논술전형),논술,17,450
1,2026,의료산업경영학과,학생부종합(기회균형),학생부종합,1,10
1,2026,응용통계학과,학생부교과(학생부우수자),학생부교과,8,65
1,2026,응용통계학과,학생부교과(지역균형),학생부교과,9,69
1,2026,응용통계학과,학생부종합(가천바람개비),학생부종합,6,131
1,2026,응용통계학과,논술(논술전형),논술,15,894
1,2026,사회복지학과,학생부교과(학생부우수자),학생부교과,11,111
1,2026,사회복지학과,학생부종합(가천바람개비),학생부종합,9,111
1,2026,사회복지학과,논술(논술전형),논술,12,805
1,2026,사회복지학과,학생부종합(기회균형),학생부종합,2,14
1,2026,유아교육학과,학생부교과(학생부우수자),학생부교과,19,174
1,2026,유아교육학과,학생부교과(지역균형),학생부교과,6,75
1,2026,유아교육학과,학생부종합(가천바람개비),학생부종합,14,264
1,2026,행정학과,학생부교과(학생부우수자),학생부교과,7,97
1,2026,행정학과,학생부종합(가천바람개비),학생부종합,15,291
1,2026,행정학과,논술(논술전형),논술,14,784
1,2026,행정학과,학생부종합(기회균형),학생부종합,1,6
1,2026,법학과,학생부교과(학생부우수자),학생부교과,8,85
1,2026,법학과,학생부종합(가천바람개비),학생부종합,19,358
1,2026,법학과,학생부종합(기회균형),학생부종합,2,9
1,2026,경찰행정학과,학생부교과(학생부우수자),학생부교과,11,186
1,2026,경찰행정학과,학생부교과(지역균형),학생부교과,9,194
1,2026,경찰행정학과,학생부종합(가천바람개비),학생부종합,14,354
1,2026,경찰행정학과,학생부종합(기회균형),학생부종합,4,38
1,2026,한국어문학과,학생부교과(학생부우수자),학생부교과,10,119
1,2026,한국어문학과,학생부종합(가천바람개비),학생부종합,9,76
1,2026,한국어문학과,논술(논술전형),논술,5,302
1,2026,한국어문학과,학생부종합(기회균형),학생부종합,3,22
1,2026,영미어문학과,학생부종합(가천바람개비),학생부종합,5,42
1,2026,영미어문학과,논술(논술전형),논술,11,377
1,2026,컴퓨터공학부,학생부교과(학생부우수자),학생부교과,14,257
1,2026,컴퓨터공학부,학생부교과(지역균형),학생부교과,15,311
1,2026,컴퓨터공학부,학생부종합(가천바람개비),학생부종합,11,112
1,2026,컴퓨터공학부,논술(논술전형),논술,9,393
1,2026,컴퓨터공학부,학생부종합(기회균형),학생부종합,4,42
1,2026,인공지능학과,학생부교과(학생부우수자),학생부교과,13,160
1,2026,인공지능학과,학생부교과(지역균형),학생부교과,13,345
1,2026,인공지능학과,학생부종합(가천바람개비),학생부종합,22,285
1,2026,인공지능학과,논술(논술전형),논술,10,610
1,2026,인공지능학과,학생부종합(기회균형),학생부종합,5,62
1,2026,소프트웨어학과,학생부교과(학생부우수자),학생부교과,9,186
1,2026,소프트웨어학과,학생부교과(지역균형),학생부교과,11,233
1,2026,소프트웨어학과,학생부종합(가천바람개비),학생부종합,12,300
1,2026,소프트웨어학과,학생부종합(기회균형),학생부종합,3,21
1,2026,전자공학부,학생부종합(가천바람개비),학생부종합,12,186
1,2026,전기공학과,학생부교과(학생부우수자),학생부교과,10,85
1,2026,전기공학과,학생부교과(지역균형),학생부교과,5,71
1,2026,전기공학과,학생부종합(가천바람개비),학생부종합,6,117
1,2026,전기공학과,학생부종합(기회균형),학생부종합,3,23
1,2026,기계공학과,학생부교과(학생부우수자),학생부교과,10,161
1,2026,기계공학과,학생부교과(지역균형),학생부교과,8,68
1,2026,기계공학과,학생부종합(가천바람개비),학생부종합,18,286
1,2026,기계공학과,논술(논술전형),논술,11,442
1,2026,기계공학과,학생부종합(기회균형),학생부종합,3,26
1,2026,화공생명공학과,학생부교과(학생부우수자),학생부교과,10,168
1,2026,화공생명공학과,학생부종합(가천바람개비),학생부종합,15,184
1,2026,화공생명공학과,논술(논술전형),논술,6,350
1,2026,화공생명공학과,학생부종합(기회균형),학생부종합,2,12
1,2026,건축학부,학생부종합(가천바람개비),학생부종합,6,74
1,2026,건축학부,논술(논술전형),논술,2,94
1,2026,건축학부,학생부종합(기회균형),학생부종합,3,25
1,2026,도시계획·조경학부,학생부교과(학생부우수자),학생부교과,17,208
1,2026,도시계획·조경학부,학생부종합(가천바람개비),학생부종합,16,336
1,2026,도시계획·조경학부,논술(논술전형),논술,3,176
1,2026,도시계획·조경학부,학생부종합(기회균형),학생부종합,3,28
1,2026,바이오나노학과,학생부교과(학생부우수자),학생부교과,14,216
1,2026,바이오나노학과,학생부교과(지역균형),학생부교과,12,197
1,2026,바이오나노학과,학생부종합(가천바람개비),학생부종합,20,336
1,2026,식품생명공학과,학생부종합(가천바람개비),학생부종합,12,234
1,2026,식품생명공학과,논술(논술전형),논술,7,240
1,2026,식품생명공학과,학생부종합(기회균형),학생부종합,3,24
1,2026,간호학과,학생부교과(학생부우수자),학생부교과,8,135
1,2026,간호학과,학생부교과(지역균형),학생부교과,6,72
1,2026,간호학과,학생부종합(가천바람개비),학생부종합,6,203
1,2026,간호학과,논술(논술전형),논술,3,159
1,2026,약학과,학생부교과(학생부우수자),학생부교과,6,187
1,2026,약학과,학생부교과(지역균형),학생부교과,5,94
1,2026,약학과,학생부종합(가천바람개비),학생부종합,11,317
1,2026,약학과,논술(논술전형),논술,6,568
1,2026,약학과,학생부종합(기회균형),학생부종합,3,36
1,2026,의예과,학생부교과(학생부우수자),학생부교과,13,437
1,2026,의예과,학생부교과(지역균형),학생부교과,16,664
1,2026,의예과,학생부종합(가천바람개비),학생부종합,8,482
1,2026,한의예과,학생부교과(학생부우수자),학생부교과,12,213
1,2026,한의예과,학생부종합(가천바람개비),학생부종합,6,208
1,2026,한의예과,논술(논술전형),논술,4,352
1,2026,한의예과,학생부종합(기회균형),학생부종합,1,10
1,2026,시각디자인학과,실기/실적(실기우수자),실기/실적,26,294
1,2026,체육학부,실기/실적(실기우수자),실기/실적,24,364
1,2026,음악학부,실기/실적(실기우수자),실기/실적,11,133
1,2026,자유전공학부,학생부교과(학생부우수자),학생부교과,9,99
1,2026,자유전공학부,학생부교과(지역균형),학생부교과,5,45
1,2026,자유전공학부,학생부종합(가천바람개비),학생부종합,16,358
2,2024,국어국문학과,학생부교과(지역인재),학생부교과,13,39
2,2024,국어국문학과,학생부종합(미래인재),학생부종합,19,151
2,2024,국어국문학과,학생부종합(지역인재),학생부종합,3,8
2,2024,국어국문학과,학생부종합(농어촌학생),학생부종합,3,3
2,2024,영어영문학과,학생부교과(일반전형),학생부교과,25,85
2,2024,영어영문학과,학생부교과(지역인재),학생부교과,3,13
2,2024,영어영문학과,학생부종합(미래인재),학생부종합,20,73
2,2024,영어영문학과,학생부종합(지역인재),학생부종합,13,43
2,2024,영어영문학과,학생부종합(농어촌학생),학생부종합,2,2
2,2024,사학과,학생부교과(일반전형),학생부교과,23,126
2,2024,사학과,학생부교과(지역인재),학생부교과,3,9
2,2024,사학과,학생부종합(미래인재),학생부종합,13,86
2,2024,사학과,학생부종합(지역인재),학생부종합,11,37
2,2024,사학과,학생부종합(농어촌학생),학생부종합,1,3
2,2024,철학과,학생부교과(일반전형),학생부교과,18,106
2,2024,철학과,학생부교과(지역인재),학생부교과,8,36
2,2024,철학과,학생부종합(미래인재),학생부종합,14,74
2,2024,철학과,학생부종합(지역인재),학생부종합,11,50
2,2024,철학과,학생부교과(저소득층),학생부교과,2,7
2,2024,경영학과,학생부교과(일반전형),학생부교과,25,251
2,2024,경영학과,학생부종합(미래인재),학생부종합,14,131
2,2024,경영학과,학생부종합(지역인재),학생부종합,3,19
2,2024,경영학과,학생부교과(저소득층),학생부교과,1,2
2,2024,경제·정보통계학부,학생부교과(일반전형),학생부교과,25,144
2,2024,경제·정보통계학부,학생부교과(지역인재),학생부교과,9,45
2,2024,경제·정보통계학부,학생부종합(미래인재),학생부종합,20,158
2,2024,경제·정보통계학부,학생부종합(지역인재),학생부종합,15,96
2,2024,경제·정보통계학부,학생부교과(저소득층),학생부교과,4,8
2,2024,경제·정보통계학부,학생부종합(농어촌학생),학생부종합,1,4
2,2024,회계학과,학생부교과(일반전형),학생부교과,15,94
2,2024,회계학과,학생부교과(지역인재),학생부교과,14,62
2,2024,회계학과,학생부종합(미래인재),학생부종합,9,91
2,2024,회계학과,학생부종합(지역인재),학생부종합,13,65
2,2024,회계학과,학생부교과(저소득층),학생부교과,3,6
2,2024,회계학과,학생부종합(농어촌학생),학생부종합,1,4
2,2024,국제무역학과,학생부교과(일반전형),학생부교과,15,125
2,2024,국제무역학과,학생부교과(지역인재),학생부교과,8,55
2,2024,국제무역학과,학생부종합(미래인재),학생부종합,9,85
2,2024,국제무역학과,학생부교과(저소득층),학생부교과,4,11
2,2024,국제무역학과,학생부종합(농어촌학생),학생부종합,3,9
2,2024,관광경영학과,학생부교과(일반전형),학생부교과,18,124
2,2024,관광경영학과,학생부교과(지역인재),학생부교과,14,59
2,2024,관광경영학과,학생부종합(미래인재),학생부종합,10,38
2,2024,관광경영학과,학생부교과(저소득층),학생부교과,3,16
2,2024,행정·심리학부,학생부교과(일반전형),학생부교과,26,181
2,2024,행정·심리학부,학생부교과(지역인재),학생부교과,14,114
2,2024,행정·심리학부,학생부종합(미래인재),학생부종합,7,40
2,2024,행정·심리학부,학생부종합(지역인재),학생부종합,3,20
2,2024,행정·심리학부,학생부교과(저소득층),학생부교과,2,9
2,2024,정치외교학과,학생부교과(일반전형),학생부교과,11,76
2,2024,정치외교학과,학생부교과(지역인재),학생부교과,9,36
2,2024,정치외교학과,학생부종합(미래인재),학생부종합,15,72
2,2024,정치외교학과,학생부종합(지역인재),학생부종합,9,59
2,2024,정치외교학과,학생부종합(농어촌학생),학생부종합,2,10
2,2024,사회학과,학생부교과(일반전형),학생부교과,11,65
2,2024,사회학과,학생부종합(미래인재),학생부종합,7,53
2,2024,사회학과,학생부종합(지역인재),학생부종합,5,23
2,2024,사회학과,학생부교과(저소득층),학생부교과,2,6
2,2024,미디어커뮤니케이션학과,학생부교과(일반전형),학생부교과,9,46
2,2024,미디어커뮤니케이션학과,학생부교과(지역인재),학생부교과,12,37
2,2024,미디어커뮤니케이션학과,학생부종합(미래인재),학생부종합,17,89
2,2024,미디어커뮤니케이션학과,학생부종합(지역인재),학생부종합,15,77
2,2024,미디어커뮤니케이션학과,학생부교과(저소득층),학생부교과,2,10
2,2024,미디어커뮤니케이션학과,학생부종합(농어촌학생),학생부종합,2,10
2,2024,컴퓨터공학과,학생부교과(일반전형),학생부교과,15,87
2,2024,컴퓨터공학과,학생부교과(지역인재),학생부교과,5,22
2,2024,컴퓨터공학과,학생부종합(미래인재),학생부종합,20,129
2,2024,컴퓨터공학과,학생부종합(지역인재),학생부종합,15,62
2,2024,컴퓨터공학과,학생부종합(농어촌학생),학생부종합,3,8
2,2024,전자공학과,학생부교과(일반전형),학생부교과,20,99
2,2024,전자공학과,학생부교과(지역인재),학생부교과,10,41
2,2024,전자공학과,학생부종합(미래인재),학생부종합,16,86
2,2024,전자공학과,학생부종합(지역인재),학생부종합,5,29
2,2024,전자공학과,학생부종합(농어촌학생),학생부종합,2,6
2,2024,전기공학과,학생부교과(지역인재),학생부교과,14,71
2,2024,전기공학과,학생부종합(미래인재),학생부종합,9,45
