대학ID,학년도,학과명,계열,모집인원,지원자,입학자
1,2026,경제학과,사회계열,76,1380,69
1,2026,경찰행정학과,사회계열,6,72,0
1,2026,관광경영학과,사회계열,130,1802,121
1,2026,국제학부(국제자유전공),인문계열,105,106,93
1,2026,국제학부(한국학전공),인문계열,22,35,12
1,2026,금융·빅데이터학부,자연계열,105,1826,109
1,2026,금융·빅데이터학부(금융수학전공),자연계열,18,103,0
1,2026,금융·빅데이터학부(빅데이터경영전공),자연계열,1,13,0
1,2026,기계공학부,공학계열,188,4140,189
1,2026,기계공학부(기계공학전공),공학계열,31,331,0
1,2026,기계공학부(산업공학전공),공학계열,8,97,0
1,2026,기계공학부(설비·소방공학전공),공학계열,5,35,0
1,2026,도시계획·조경학부,사회계열,72,1356,72
1,2026,도시계획학전공,사회계열,10,115,0
1,2026,물리치료학과,의약계열,66,1890,60
1,2026,미디어커뮤니케이션학과,사회계열,156,2084,138
1,2026,미래자동차학과(4년제),공학계열,27,240,27
1,2026,미술·디자인학부(산업디자인전공),예체능계열,33,714,33
1,2026,미술·디자인학부(시각디자인전공),예체능계열,38,1227,34
1,2026,미술·디자인학부(조소전공),예체능계열,25,182,25
1,2026,미술·디자인학부(회화전공),예체능계열,30,242,30
1,2026,바이오나노학과,자연계열,60,983,48
1,2026,바이오로직스학과,자연계열,120,2129,108
1,2026,바이오의료기기학과(4년제),의약계열,34,221,34
1,2026,반도체·디스플레이학과(4년제),공학계열,103,584,103
1,2026,반도체대학,공학계열,217,3953,217
1,2026,반도체물리학과,자연계열,60,939,49
1,2026,반도체설계학과(4년제),공학계열,37,220,37
1,2026,방사선학과,의약계열,58,1287,49
1,2026,법과대학,사회계열,160,3982,162
1,2026,법학과,사회계열,22,554,0
1,2026,사회복지학과,사회계열,57,1622,48
1,2026,생명과학과,자연계열,55,1641,48
1,2026,스마트보안학과,공학계열,53,1065,50
1,2026,스마트시티학과,공학계열,61,1137,54
1,2026,스마트팩토리학과,공학계열,54,979,50
1,2026,시스템반도체학과,공학계열,50,985,50
1,2026,식품생명공학과,자연계열,57,1128,50
1,2026,식품영양학과,자연계열,62,1127,48
1,2026,신소재공학과,공학계열,62,1240,52
1,2026,실내건축학전공,공학계열,0,3,0
1,2026,심리학과,인문계열,74,1794,63
1,2026,약학과,의약계열,36,1500,36
1,2026,연기예술학과,예체능계열,31,1999,31
1,2026,영미어문학과,인문계열,19,207,0
1,2026,운동재활학과,의약계열,49,1410,42
1,2026,유럽어문학과,인문계열,1,1,0
1,2026,유아교육학과,교육계열,56,1284,50
1,2026,음악학부(기악),예체능계열,31,381,31
1,2026,음악학부(성악),예체능계열,13,173,13
1,2026,음악학부(작곡),예체능계열,7,47,7
1,2026,응급구조학과,의약계열,22,696,22
1,2026,응용통계학과,자연계열,60,1066,49
1,2026,의공학과,의약계열,57,1088,49
1,2026,의료산업경영학과,사회계열,58,1333,51
1,2026,의예과,의약계열,50,4484,50
1,2026,인공지능학과,공학계열,189,3621,160
1,2026,일본어문학과,인문계열,1,1,0
1,2026,자유전공학부,무전공,321,5221,321
1,2026,전기공학과,공학계열,81,1400,70
1,2026,전자공학과,공학계열,40,646,0
1,2026,중국어문학과,인문계열,13,16,0
1,2026,체육학부(체육),예체능계열,41,2366,41
1,2026,체육학부(태권도),예체능계열,30,674,30
1,2026,치위생학과,의약계열,57,1254,48
1,2026,컴퓨터공학과,공학계열,323,3456,287
1,2026,클라우드공학과,공학계열,30,1118,30
1,2026,패션산업학과,자연계열,62,1428,55
1,2026,한국어교육학과,교육계열,29,33,29
1,2026,한국어문학과,인문계열,19,191,0
1,2026,한의예과,의약계열,31,510,31
1,2026,행정학과,사회계열,20,332,0
1,2026,화공생명배터리공학부,공학계열,218,3595,218
1,2026,화공생명배터리공학부(배터리공학전공),공학계열,2,17,0
1,2026,화공생명배터리공학부(화공생명공학전공),공학계열,34,454,0
1,2026,화학과,자연계열,54,857,49
1,2026,회계세무학과,사회계열,53,1076,52
1,2026,AI인문대학,인문계열,222,6392,250
2,2024,가정교육과,교육계열,13,94,12
2,2024,간호학과,의약계열,154,1289,156
2,2024,건설융합학부,공학계열,81,219,80
2,2024,건축·토목·환경공학부,공학계열,119,794,119
2,2024,건축학과(5),공학계열,27,279,28
2,2024,경영·회계학부,사회계열,220,1415,220
2,2024,경제·정보통계학부,사회계열,82,583,83
2,2024,과학교육학부,교육계열,45,252,44
2,2024,관광경영학과,사회계열,37,339,41
2,2024,교육학과,교육계열,16,112,15
2,2024,국어교육과,교육계열,33,190,33
2,2024,국제무역학과,사회계열,62,381,62
2,2024,글로벌융합학부,사회계열,46,89,46
2,2024,글로벌인재학부,사회계열,125,490,124
2,2024,기계시스템공학부,공학계열,99,317,98
2,2024,기계의용?메카트로닉스공학과,공학계열,106,676,106
2,2024,기타모집단위,인문계열,26,0,0
2,2024,동물산업융합학과,자연계열,39,645,39
2,2024,동물응용과학과,자연계열,45,420,45
2,2024,동물자원과학과,자연계열,51,479,51
2,2024,디자인학과,예체능계열,36,270,36
2,2024,디지털밀리터리학과,공학계열,21,113,21
2,2024,멀티디자인학과,예체능계열,59,189,59
2,2024,목재?종이과학부,공학계열,51,395,51
2,2024,무용학과,예체능계열,20,96,20
2,2024,문화인류학과,인문계열,24,194,24
2,2024,물리치료학과,의약계열,35,281,36
2,2024,미디어커뮤니케이션학과,사회계열,30,319,32
2,2024,미술학과,예체능계열,24,124,24
2,2024,바이오기능성소재학과,자연계열,16,59,15
2,2024,바이오산업공학부,자연계열,63,664,63
2,2024,반도체물리학과,자연계열,17,173,17
2,2024,방사선학과,의약계열,32,309,32
2,2024,배터리융합공학과,공학계열,42,255,42
2,2024,부동산학과,사회계열,29,193,29
2,2024,분자생명과학과,자연계열,27,152,28
2,2024,사회복지학과,사회계열,37,157,37
2,2024,사회학과,사회계열,27,199,30
2,2024,산림과학부,자연계열,102,505,102
2,2024,생명건강공학과,공학계열,28,169,28
2,2024,생명과학과,자연계열,25,122,25
2,2024,생물의소재공학과,공학계열,24,144,24
2,2024,생물자원과학부,자연계열,52,406,52
2,2024,생태조경디자인학과,자연계열,28,174,29
2,2024,생활조형디자인학과,예체능계열,51,116,51
2,2024,소방방재학부,공학계열,92,355,92
2,2024,수의예과,자연계열,40,1022,40
2,2024,수학과,자연계열,28,165,28
2,2024,수학교육과,교육계열,33,178,33
2,2024,스마트팜농산업학과,자연계열,22,29,14
2,2024,스포츠과학과,예체능계열,26,103,26
2,2024,식품영양학과,자연계열,31,139,29
2,2024,신소재공학과,공학계열,53,198,53
2,2024,안경광학과,공학계열,32,124,31
2,2024,약학과,의약계열,54,638,54
2,2024,에너지자원·산업공학부,공학계열,65,413,65
2,2024,에너지자원화학공학과,공학계열,56,186,56
2,2024,역사교육과,교육계열,18,122,17
2,2024,영상문화학과,예체능계열,50,657,50
2,2024,영어교육과,교육계열,26,192,25
2,2024,원예·농업자원경제학부,자연계열,66,409,66
2,2024,유아교육과,교육계열,15,78,15
2,2024,윤리교육과,교육계열,18,103,17
2,2024,음악학과,예체능계열,29,59,29
2,2024,응급구조학과,의약계열,32,256,33
2,2024,의생명융합학부,자연계열,61,422,61
2,2024,의예과,의약계열,49,1049,49
2,2024,인문학부,인문계열,258,1898,261
2,2024,일반사회교육과,교육계열,19,148,18
2,2024,일본어학과,인문계열,15,120,16
2,2024,자유전공학부(인문계열),인문계열,87,484,87
2,2024,자유전공학부(자연계열),자연계열,58,358,58
2,2024,작업치료학과,의약계열,42,187,43
2,2024,전기전자공학과,공학계열,97,723,98
2,2024,전기제어계측공학부,공학계열,72,213,72
2,2024,전자공학과,공학계열,42,232,42
2,2024,전자정보통신공학과,공학계열,65,207,64
2,2024,정치외교학과,사회계열,26,203,29
2,2024,지구환경시스템공학과,자연계열,38,155,38
2,2024,지리교육과,교육계열,18,100,17
2,2024,지역건설공학과,공학계열,30,309,30
2,2024,지질·지구물리학부,자연계열,44,354,44
2,2024,체육교육과,교육계열,15,76,15
2,2024,치위생학과,의약계열,35,190,35
2,2024,컴퓨터공학과,공학계열,159,983,163
2,2024,한문교육과,교육계열,14,70,13
2,2024,행정.심리학부,사회계열,73,609,75
2,2024,화공?생물공학부,공학계열,72,438,72
2,2024,화학ㆍ생화학부,자연계열,70,373,70
2,2024,환경융합학부,자연계열,64,543,65
2,2024,휴먼스포츠학부,예체능계열,46,169,46
2,2024,AI소프트웨어학과,공학계열,102,390,101
2,2024,AI융합학과,공학계열,42,343,42
2,2025,가정교육과,교육계열,13,78,12
2,2025,간호학과,의약계열,154,1562,154
2,2025,건설융합학부,공학계열,68,281,74
2,2025,건축·토목·환경공학부,공학계열,119,1061,119
2,2025,건축학과(5),공학계열,26,315,27
2,2025,경영·회계학부,사회계열,200,1873,203
2,2025,경영대학 무전공학과,사회계열,38,297,38
2,2025,경제·정보통계학부,사회계열,74,667,74
2,2025,공학대학 무전공학과,공학계열,60,232,61
2,2025,과학교육학부,교육계열,45,236,44
2,2025,관광경영학과,사회계열,35,338,36
2,2025,교육학과,교육계열,16,133,15
2,2025,국어교육과,교육계열,33,219,33
2,2025,국제무역학과,사회계열,54,419,56
2,2025,그린에너지공학과,공학계열,130,517,132
2,2025,글로벌융합학부,사회계열,214,362,214
2,2025,글로벌인재학부,사회계열,116,520,118
2,2025,기계공학과,공학계열,86,445,90
2,2025,기계의용?메카트로닉스공학과,공학계열,107,786,108
2,2025,기타모집단위,인문계열,77,0,0
2,2025,농업생명과학대학 무전공학과,무전공,26,201,26
2,2025,동물산업융합학과,자연계열,39,407,39
2,2025,동물응용과학과,자연계열,45,398,45
2,2025,동물자원과학과,자연계열,51,620,50
2,2025,디자인학과,예체능계열,36,450,37
2,2025,디지털밀리터리학과,공학계열,21,246,21
2,2025,멀티디자인학과,예체능계열,55,162,62
2,2025,목재?종이과학부,공학계열,49,536,49
2,2025,무용학과,예체능계열,20,49,20
2,2025,문화인류학과,인문계열,24,253,24
2,2025,물리치료학과,의약계열,35,470,37
2,2025,미디어커뮤니케이션학과,사회계열,31,359,34
2,2025,미술학과,예체능계열,24,243,24
2,2025,바이오기능성소재학과,자연계열,16,104,17
2,2025,반도체물리학과,자연계열,18,141,18
2,2025,방사선학과,의약계열,32,339,32
2,2025,배터리융합공학과,공학계열,42,241,43
2,2025,부동산학과,사회계열,29,400,29
2,2025,분자생명과학과,자연계열,27,154,28
2,2025,사회복지학과,사회계열,37,255,37
2,2025,사회학과,사회계열,28,427,28
2,2025,산림과학부,자연계열,102,684,102
2,2025,생명건강공학과,공학계열,28,192,28
2,2025,생명과학과,자연계열,25,146,25
2,2025,생물의소재공학과,공학계열,25,182,25
2,2025,생물자원과학부,자연계열,47,426,47
2,2025,생태조경디자인학과,자연계열,28,255,29
2,2025,생활조형디자인학과,예체능계열,47,102,47
2,2025,소방방재학부,공학계열,77,400,85
2,2025,수의예과,자연계열,40,640,40
2,2025,수학과,자연계열,28,156,29
2,2025,수학교육과,교육계열,33,244,32
2,2025,스마트산업공학과,공학계열,30,265,31
2,2025,스마트팜농산업학과,자연계열,22,32,9
2,2025,스마트팜융합바이오시스템공학과,자연계열,26,201,26
2,2025,스포츠과학과,예체능계열,26,217,26
2,2025,식품생명공학과,자연계열,34,333,35
2,2025,식품영양학과,자연계열,27,134,29
2,2025,안경광학과,공학계열,31,196,33
2,2025,약학과,의약계열,54,955,54
2,2025,에너지자원공학과,공학계열,35,217,35
2,2025,역사교육과,교육계열,18,144,17
2,2025,영상문화학과,예체능계열,50,648,50
2,2025,영어교육과,교육계열,26,355,25
2,2025,원예·농업자원경제학부,자연계열,60,564,60
2,2025,유아교육과,교육계열,15,109,15
2,2025,윤리교육과,교육계열,18,129,17
2,2025,음악학과,예체능계열,30,58,30
2,2025,응급구조학과,의약계열,32,306,32
2,2025,의생명융합학부,자연계열,61,347,62
2,2025,의예과,의약계열,91,1197,91
2,2025,인문학부,인문계열,256,1994,259
2,2025,일반사회교육과,교육계열,18,183,17
2,2025,일본어학과,인문계열,15,122,15
2,2025,자유전공학부(인문계열),무전공,72,686,72
2,2025,자유전공학부(자연계열),무전공,71,487,71
2,2025,작업치료학과,의약계열,42,273,42
2,2025,전기공학과,공학계열,36,258,42
2,2025,전기전자공학과,공학계열,88,814,88
2,2025,전자?AI시스템공학과,공학계열,168,879,175
2,2025,전자공학과,공학계열,38,256,38
2,2025,정치외교학과,사회계열,26,212,26
2,2025,지리교육과,교육계열,18,138,18
2,2025,지역건설공학과,공학계열,27,314,27
2,2025,지질·지구물리학부,자연계열,44,350,44
2,2025,체육교육과,교육계열,15,121,15
2,2025,치위생학과,의약계열,35,222,35
2,2025,컴퓨터공학과,공학계열,142,1564,144
2,2025,한문교육과,교육계열,14,86,13
2,2025,행정.심리학부,사회계열,73,947,82
2,2025,화공?생물공학부,공학계열,72,367,72
2,2025,화학ㆍ생화학부,자연계열,69,326,70
2,2025,환경융합학부,자연계열,58,501,58
2,2025,휴먼스포츠학과,예체능계열,44,212,48
2,2025,AI융합학과,공학계열,38,432,38
2,2026,가정교육과,교육계열,13,94,12
2,2026,간호학과,의약계열,231,2363,231
2,2026,건설환경공학부,공학계열,49,340,51
2,2026,건축공학과,공학계열,26,281,26
2,2026,건축학과(5),공학계열,24,246,24
2,2026,경영·회계학부,사회계열,199,1519,200
2,2026,경영대학 자유전공학과,사회계열,38,519,38
2,2026,경영학과,사회계열,26,256,33
2,2026,경제·정보통계학부,사회계열,76,1086,76
2,2026,경제금융학과,사회계열,26,311,26
2,2026,경제학과,사회계열,20,145,24
2,2026,공공행정학과,사회계열,26,328,26
2,2026,공학대학 자유전공학과,공학계열,65,448,65
2,2026,과학교육학부,교육계열,45,278,44
2,2026,관광경영학과,사회계열,73,709,79
2,2026,관광학과,사회계열,21,132,21
2,2026,교육학과,교육계열,17,175,16
2,2026,국어교육과,교육계열,32,253,32
2,2026,국어국문학과,인문계열,68,512,78
2,2026,국제무역학과,사회계열,54,452,54
2,2026,국제통상학과,사회계열,31,257,37
2,2026,그린에너지공학과,공학계열,130,955,129
2,2026,글로벌융합학부,사회계열,159,249,159
2,2026,기계공학과,공학계열,91,350,91
2,2026,기계융합공학부,공학계열,176,1460,178
2,2026,기타모집단위,인문계열,107,0,0
2,2026,농업생명과학대학 자유전공학과,자연계열,26,352,26
2,2026,다문화학과,사회계열,27,328,29
2,2026,대기환경과학과,자연계열,22,167,27
2,2026,데이터사이언스학과,공학계열,18,120,19
2,2026,도시건축학과(5년제),공학계열,43,386,43
2,2026,도시계획·부동산학과,사회계열,30,197,32
2,2026,독어독문학과,인문계열,24,182,24
2,2026,동물산업융합학과,자연계열,35,360,35
2,2026,동물생명과학대학 자유전공학과,자연계열,13,94,13
2,2026,동물응용과학과,자연계열,41,640,41
2,2026,동물자원과학과,자연계열,47,477,47
2,2026,디자인학과,예체능계열,36,434,36
2,2026,디지털미디어커뮤니케이션학과,사회계열,21,455,22
2,2026,디지털밀리터리학과,공학계열,21,228,21
2,2026,멀티디자인학과,예체능계열,58,133,58
2,2026,무역학과,사회계열,23,171,36
2,2026,무용학과,예체능계열,20,49,20
2,2026,문화예술·공과대학 자유전공학과,공학계열,40,251,40
2,2026,문화인류학과,인문계열,22,214,22
2,2026,물리치료학과,의약계열,35,356,35
2,2026,미디어커뮤니케이션학과,사회계열,29,277,33
2,2026,미래토목건설공학과,공학계열,31,228,31
2,2026,미술학과,예체능계열,24,98,24
2,2026,바이오기능성소재학과,자연계열,15,164,15
2,2026,반도체물리학과,자연계열,17,137,17
2,2026,방사선학과,의약계열,32,348,32
2,2026,배터리융합공학과,공학계열,37,295,37
2,2026,부동산학과,사회계열,26,312,26
2,2026,분자생명과학과,자연계열,24,159,24
2,2026,불어불문학과,인문계열,21,155,21
2,2026,사학과,인문계열,47,519,51
2,2026,사회과학대학 자유전공학과,사회계열,21,179,21
2,2026,사회복지학과,사회계열,63,769,64
2,2026,사회학과,사회계열,25,268,25
2,2026,산림경영학과,자연계열,29,199,29
2,2026,산림바이오소재공학과,공학계열,23,274,23
2,2026,산림자원학과,자연계열,29,220,30
2,2026,산림환경과학대학 자유전공학과,자연계열,16,438,16
2,2026,산림환경보호학과,자연계열,29,193,29
2,2026,산업경영공학과,공학계열,28,197,29
2,2026,생명·환경융합학부,자연계열,58,501,58
2,2026,생명건강공학과,공학계열,25,161,25
2,2026,생명과학과,자연계열,40,336,40
2,2026,생명과학대학 자유전공학과,자연계열,25,124,25
2,2026,생물의소재공학과,공학계열,23,127,23
2,2026,생물자원과학부,자연계열,47,396,47
2,2026,생태조경디자인학과,자연계열,25,242,26
2,2026,생활조형디자인학과,예체능계열,44,114,44
2,2026,소방방재학부,공학계열,86,451,86
2,2026,수산생명의학과,자연계열,21,138,26
2,2026,수의학과,자연계열,41,505,41
2,2026,수학과,자연계열,25,170,25
2,2026,수학교육과,교육계열,33,192,32
2,2026,수학물리학부,자연계열,22,108,22
2,2026,스마트산업공학과,공학계열,28,368,29
2,2026,스마트팜농산업학과,자연계열,21,46,17
2,2026,스마트팜융합바이오시스템공학과,자연계열,31,325,31
2,2026,스포츠과학과,예체능계열,27,169,27
2,2026,식물생명과학과,자연계열,25,167,27
2,2026,식품생명공학과,자연계열,35,310,35
2,2026,식품영양학과,자연계열,57,499,58
2,2026,식품자원경제학과,자연계열,39,293,39
2,2026,신소재·생명화학공학부,공학계열,85,490,86
2,2026,심리학과,인문계열,26,510,27
2,2026,안경광학과,공학계열,33,178,33
2,2026,약학과,의약계열,54,581,54
2,2026,에너지자원공학과,공학계열,33,213,33
2,2026,역사교육과,교육계열,18,162,17
2,2026,영상문화학과,예체능계열,45,503,45
2,2026,영어과,인문계열,28,141,28
2,2026,영어교육과,교육계열,26,200,25
2,2026,영어영문학과,인문계열,58,610,60
2,2026,원예학과,자연계열,27,233,27
2,2026,유아교육과,교육계열,75,598,75
2,2026,윤리교육과,교육계열,18,143,17
2,2026,음악학과,예체능계열,49,333,48
2,2026,응급구조학과,의약계열,33,294,33
2,2026,의생명공학과,자연계열,28,176,28
2,2026,의생명과학대학 자유전공학과,자연계열,14,78,15
2,2026,의생명시스템과학과,자연계열,25,159,25
2,2026,의예과,의약계열,49,623,49
2,2026,인문대학 자유전공학과,인문계열,49,877,48
2,2026,인문사회대학 자유전공학과,무전공,16,179,16
2,2026,일반사회교육과,교육계열,18,187,17
2,2026,일본학과,인문계열,58,562,62
2,2026,자연과학대학 자유전공학과,자연계열,39,476,39
2,2026,자유전공학부,무전공,114,1100,114
2,2026,자유전공학부(인문계열),무전공,87,848,87
2,2026,자유전공학부(자연계열),무전공,86,704,86
2,2026,자치행정학과,사회계열,27,199,27
2,2026,작업치료학과,의약계열,43,362,43
2,2026,전기공학과,공학계열,67,594,69
2,2026,전기전자공학과,공학계열,87,830,88
2,2026,전자·반도체공학부,공학계열,82,657,87
2,2026,전자공학과,공학계열,38,206,38
2,2026,정보통신공학과,공학계열,24,391,24
2,2026,정책학과,사회계열,24,147,25
2,2026,정치외교학과,사회계열,24,468,23
2,2026,조형예술·디자인학과,예체능계열,50,333,50
2,2026,중어중문학과,인문계열,56,379,57
2,2026,지리교육과,교육계열,18,152,17
2,2026,지역건설공학과,공학계열,27,373,27
2,2026,지질·지구물리학부,자연계열,42,296,43
2,2026,철학과,인문계열,40,337,40
2,2026,첨단AI공학과,공학계열,171,1024,171
2,2026,체육교육과,교육계열,15,145,15
2,2026,체육학과,예체능계열,38,383,39
2,2026,치위생학과,의약계열,66,797,67
2,2026,치의예과,의약계열,42,582,42
2,2026,컴퓨터공학과,공학계열,207,1390,218
2,2026,토목공학과,공학계열,44,326,44
2,2026,패션디자인학과,예체능계열,27,243,27
2,2026,펄프제지공학과,공학계열,23,252,23
2,2026,한문교육과,교육계열,14,74,13
2,2026,해양융합과학과,자연계열,89,525,90
2,2026,행정학과,사회계열,36,297,37
2,2026,화공·생물공학부,공학계열,64,326,64
2,2026,화학신소재학과,공학계열,25,309,26
2,2026,화학ㆍ생화학부,자연계열,63,391,63
2,2026,환경공학과,자연계열,34,226,34
2,2026,환경조경학과,자연계열,27,193,29
2,2026,회계학과,사회계열,29,171,30
2,2026,휴먼스포츠학과,예체능계열,45,216,45
2,2026,AI융합학과,공학계열,38,231,39
2,2026,AI콘텐츠공학과,공학계열,29,298,33
3,2024,건축학부,공학계열,91,1921,94
3,2024,경영학과,사회계열,190,2877,200
3,2024,경제학과,사회계열,95,1258,97
3,2024,교육공학과,교육계열,26,429,26
3,2024,국어국문학과,인문계열,50,880,52
3,2024,국제무역학과,사회계열,69,736,71
3,2024,국제통상학과,사회계열,6,59,6
3,2024,글로벌비즈니스학과,사회계열,36,849,37
3,2024,기계항공공학부,공학계열,164,2498,164
3,2024,기술경영학과,사회계열,43,479,43
3,2024,기타모집단위,인문계열,80,0,0
3,2024,동물자원과학과,자연계열,53,729,54
3,2024,리빙디자인학과,예체능계열,48,643,49
3,2024,매체연기학과,예체능계열,32,665,32
